Attenuaz,dist
-1.03772670572766,1
-1.34636245618489,6
-1.72090400965937,12
-1.9889283027294,17
-2.13532794038514,21
-2.25688382065604,25
-2.36242983337582,29
-2.45058998342307,33
-2.53029062602906,37
-2.60461844194134,41
-2.6641563684891,45
-2.71063824623602,49
-2.76505881086181,53
-2.81137727810537,57
-2.8598385382497,61
-2.90967236970835,65
-2.93479548125849,69
-2.96324634251115,73
-2.98568053693561,77
-3.01407308930834,81
-3.04514572558235,85
-3.07215608684317,89
-3.08870879662454,93
-3.08803394291754,97
-3.09287593190338,101
-3.11392097975257,105
-3.13312701728186,109
-3.13940689920052,113
-3.14989452796275,117
-3.17706163828094,121
-3.19264965716792,125
-3.20350130941857,129
-3.21892422836546,133
-3.23103159654573,137
-3.24236643339713,141
-3.25713195256097,145
-3.27001324929351,150
