dist,Attenuaz
10.0,-1.62697
13.0,-1.78343
16.0,-1.94517
19.0,-2.10966
22.0,-2.27276
25.0,-2.43109
28.0,-2.55568
31.0,-2.63517
34.0,-2.6911
37.0,-2.74236
40.0,-2.79523
43.0,-2.83814
46.0,-2.87702
49.0,-2.91313
52.0,-2.94977
55.0,-2.9943
58.0,-3.03849
61.0,-3.07938
64.0,-3.12014
67.0,-3.15114
70.0,-3.17905
73.0,-3.20756
76.0,-3.23014
79.0,-3.25067
82.0,-3.27616
85.0,-3.29828
88.0,-3.31564
91.0,-3.3402
94.0,-3.36834
97.0,-3.38631
100.0,-3.39161
103.0,-3.39133
106.0,-3.39004
109.0,-3.38848
112.0,-3.38295
115.0,-3.37698
118.0,-3.3693
121.0,-3.36404
124.0,-3.36454
127.0,-3.36899
130.0,-3.37775
133.0,-3.39502
136.0,-3.41724
139.0,-3.43743
142.0,-3.45536
145.0,-3.47142
148.0,-3.48513
151.0,-3.49648
154.0,-3.50545
157.0,-3.51331
160.0,-3.5206
163.0,-3.5296
166.0,-3.54158
169.0,-3.55668
172.0,-3.57632
175.0,-3.59907
178.0,-3.62438
181.0,-3.65061
184.0,-3.6764
187.0,-3.70196
190.0,-3.72737
