id,network,longitude,latitude,elevation
KO.BOTS.00,KO,27.981,40.9902,30.0
TU.ELBA.00,TU,28.4307,41.1469,331.0
KO.SLVT.00,KO,28.2098,41.2288,180.0
GF.ERDK.01,GF,27.97892,40.48861,-18.1
GF.T590.00,GF,27.97892,40.48861,-18.1
KO.CTKS.00,KO,28.5072,41.2373,47.0
TU.BIRL.00,TU,28.83684,40.97551,13.0
KO.NMR9.00,KO,27.702,40.6196,9.0
TU.BAND.00,TU,28.0992,40.3553,291.0
TU.CATL.00,TU,28.356133,41.340706,375.8
KO.BGKT.00,KO,28.773,41.181,80.0
KO.ARMT.00,KO,28.866,40.5683,320.0
GF.ESEK.01,GF,28.9222,40.5963,-268.78
KO.MRMT.00,KO,27.5832,40.609,213.0
PZ.OILH.00,PZ,28.9921,40.8636,14.0
KO.EDC.00,KO,27.8618,40.3465,257.0
KO.KCTX.00,KO,28.3353,40.2626,445.0
KO.TKR.00,KO,27.5351,40.9893,140.0
TU.MADA.00,TU,27.55401,40.589211,115.9
KO.NMR8.00,KO,27.5347,40.612,9.0
TU.EYUP.00,TU,28.939144,41.117325,83.1
PZ.KNAL.00,PZ,29.045775,40.903498,8.0
TU.ARNA.00,TU,28.683811,41.346924,52.0
PZ.BRGZ.00,PZ,29.0642,40.881,86.0
KO.CTYL.00,KO,28.2897,41.476,77.0
PZ.KRGZ.00,PZ,29.110748,40.842088,7.0
PZ.MRTI.00,PZ,29.1127,40.8196,26.0
KO.ISK.00,KO,29.0592,41.0615,85.0
KO.KAVV.00,KO,29.06,41.0638,138.0
GF.TESV.01,GF,29.0819,40.6353,-272.77
GF.BUAD.07,GF,29.1232,40.8402,46.0
TU.SARY.00,TU,29.027277,41.134497,130.0
KO.MDNY.00,KO,28.8846,40.3709,116.0
KO.NMR5.00,KO,27.366,40.7954,97.0
KO.GAZK.00,KO,27.3275,40.7479,30.0
KO.NMR2.00,KO,27.3123,40.7172,10.0
KO.NMR4.00,KO,27.3006,40.788,925.0
KO.KLYT.00,KO,29.042,41.253,30.0
KO.NMR3.00,KO,27.2944,40.7432,235.0
TU.KURT.00,TU,29.2092,40.5905,120.0
GF.KRTK.01,GF,29.2093,40.5905,-171.77
KO.NMR6.00,KO,27.2653,40.704,333.0
GF.TZLA.02,GF,29.2745,40.8152,-281.89
KO.NMR7.00,KO,27.2353,40.728,338.0
TU.SATE.00,TU,29.285891,41.012997,147.3
TU.SNCT.00,TU,29.285889,41.013053,139.0
TU.VIZD.00,TU,27.84,41.5785,345.0
TU.VIZE.00,TU,27.84,41.5785,345.0
KO.GEML.00,KO,29.2116,40.4646,222.0
TU.TKOY.00,TU,27.182943,40.67519,350.5
KO.RKY.00,KO,27.1776,40.6874,687.0
TU.CMH.00,TU,27.97,40.012,205.0
KO.KRBG.00,KO,27.2977,40.3932,79.0
KO.YLV.00,KO,29.3708,40.5658,879.0
TU.ATI.00,TU,27.5633,40.083,617.0
TU.ERE.00,TU,28.8913,40.0453,657.0
TU.TMAL.00,TU,27.003744,40.947029,131.7
TU.ULDT.00,TU,29.1353,40.1413,1734.0
KO.PHSR.00,KO,27.5238,41.6308,263.0
TU.ISIL.00,TU,29.580444,41.148907,31.1
KO.HRTX.00,KO,29.6729,40.8009,573.0
KO.SILT.00,KO,29.643,41.153,100.0
TU.AVCA.00,TU,27.850143,41.899452,235.3
TU.BKES.00,TU,27.9293,39.733,324.0
TU.SEMS.00,TU,29.7391,40.871,350.0
TU.NEV.00,TU,27.263,39.954,329.0
TU.BALY.00,TU,27.6195,39.7403,645.0
KO.ADVT.00,KO,29.7383,40.4332,193.0
TU.KESN.00,TU,26.68,40.8259,366.0
TU.ARMN.00,TU,27.4289,41.8639,406.0
TU.LAPS.00,TU,26.838573,40.252167,449.8
KO.LAP.00,KO,26.7593,40.3703,230.0
TU.DURS.00,TU,28.4742,39.6011,960.0
TU.GOKT.00,TU,26.626665,40.661728,176.5
TU.KIRK.00,TU,27.0972,41.7817,258.0
KO.ERIK.00,KO,26.5132,40.6708,38.0
