event_id,station,phase,event_time,arrival_time,epidist,hypodist,arrival_latency_s
1593,ELBA00,P,2025-04-23 09:13:06.556475,2025-04-23 09:13:13.160000,37.0639,38.51854555299309,6.603525
1593,T59000,P,2025-04-23 09:13:06.556475,2025-04-23 09:13:13.950000,45.3834,46.57895086697428,7.393525
1593,CTKS00,P,2025-04-23 09:13:06.556475,2025-04-23 09:13:14.940000,48.9289,50.03981338412448,8.383525
1593,CATL00,P,2025-04-23 09:13:06.556475,2025-04-23 09:13:16.130000,55.6467,56.62597362693205,9.573525
1593,BGKT00,P,2025-04-23 09:13:06.556475,2025-04-23 09:13:16.540000,58.4777,59.41032793713568,9.983525
1593,MADA00,P,2025-04-23 09:13:06.556475,2025-04-23 09:13:16.760000,64.2564,65.10630237748113,10.203525
1593,EDC00,P,2025-04-23 09:13:06.556475,2025-04-23 09:13:17.130000,64.0006,64.85385469398102,10.573525
1593,ARMT00,P,2025-04-23 09:13:06.556475,2025-04-23 09:13:17.240000,61.7692,62.65285098818731,10.683525
1593,TKR00,P,2025-04-23 09:13:06.556475,2025-04-23 09:13:17.289900,60.9352,61.830771201304,10.733425
1593,EYUP00,P,2025-04-23 09:13:06.556475,2025-04-23 09:13:17.420000,66.4237,67.24621617606454,10.863525
1593,ESEK01,P,2025-04-23 09:13:06.556475,2025-04-23 09:13:17.730000,64.4981,65.34485880249497,11.173525
1593,KNAL00,P,2025-04-23 09:13:06.556475,2025-04-23 09:13:18.220000,68.6769,69.4727447415028,11.663525
1593,CTYL00,P,2025-04-23 09:13:06.556475,2025-04-23 09:13:18.340000,69.8762,70.65853801734086,11.783525
1593,KAVV00,P,2025-04-23 09:13:06.556475,2025-04-23 09:13:18.769900,73.5254,74.26930801796934,12.213425
1593,MRTI00,P,2025-04-23 09:13:06.556475,2025-04-23 09:13:19.190000,74.1569,74.89453575473983,12.633525
1593,BUAD07,P,2025-04-23 09:13:06.556475,2025-04-23 09:13:19.260000,74.9683,75.69802951991554,12.703525
